Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
73,683184,,,heart,"The ♥ symbol. Used to signify romance or enjoyment, and is one of the four suits in [[playing card|playing cards]]. It is a common representation for love.",General,
74,698821,,,monochrome,"An image drawn in predominantly one color. It doesn't have to be just black and white; it could be another color such as [[sepia]], [[red theme|red]], [[blue theme|blue]], [[green theme|green]], etc.",General,
75,664630,,,earrings,An ornament or type of [[jewelry]] worn on the earlobes or in another [[ear piercing]].,General,
76,655635,,,shoes,"A covering for the foot, typically with a sturdy sole and a soft upper half, with the cuff not reaching above the ankle.",General,
77,668982,,,weapon,"A tool or object designed to hurt, maim or kill a person.",General,
78,672727,,,hair_ribbon,A [[ribbon]] worn in the hair.,General,
79,654876,,,thighs,"Upper part of the [[legs]]. Images tagged thighs should be centered around them, or at least have thighs prominently displayed. Thighs covered by [[thighhighs]], [[pantyhose]] or any [[skintight]] clothes still count. Generally not used along with the [[legs]] tag unless both are clearly pronounced in a picture.",General,
80,653803,,,cowboy_shot,"An image framed to show a character from the thighs up, including their face. The character's legs should cut off at the bottom of the image; typically around thigh level, but can be as low as at/right above the knees.",General,
81,624176,,,:d,"Actually :D, in lower case due to technical restraints. Represents a wide, [[open mouth|open-mouthed]] [[smile]] or [[grin]]. If the character is also [[one_eye_closed|winking]], use [[;D]] instead.",General,
82,616477,,,hetero,"Any romantic and/or sexual depiction between members of the opposite genders, regardless of if it's mutual or one-sided or if the male is a [[trap]] and the female is a [[reverse trap]].",General,
83,625390,,,outdoors,"A scene set in an outdoor location, rather than [[indoors]]. The setting may be urban or rural.",General,
84,662197,,,ass,An epithet for one or more buttocks.  Not to be used for the [[donkey|carrier animal of the same name]].,General,
85,609072,,,pantyhose,"A type of hosiery made of a sheer material that covers from the waist to the toes. These are distinct from [[thighhighs]] which only cover the legs, and [[leggings]] which don't cover the feet.",General,
86,602993,,,hair_bow,A [[bow]] tied into the hair in some way. It will often be used by girls with [[long hair]] to tie back a [[ponytail]] or [[twintails]]. It will also be used to keep loose hair back without a tail or as simple decoration.,General,
87,602339,,,sweat,"Beads of perspiration that form on the body from physical exertion. Use this tag for light sweating (less than 5 drops). For heavy sweating, use [[very sweaty]].",General,
88,601668,,,red_hair,Hair that is colored red.,General,
89,592225,,,teeth,"Small, whitish structures found inside one's jaw. Teeth are used to bite, to break down food before they are swallowed, and many other functions including self-defense.",General,
90,597514,,,comic,"Any sort of sequential art, including web comics, doujinshi, [[4koma]], etc.",General,
91,586147,,,frills,"A trimming, as a strip of cloth or lace, gathered at one edge and left loose at the other (AKA ruffles).",General,
92,580675,,,open_clothes,"A variety of garments can be unbuttoned or otherwise left open, such as shirts, blouses, gowns, and robes.",General,
93,570483,,,bikini,"A bikini is a two-piece swimsuit for women, typically comprising a bra-like top and a panty-like bottom; however, the bottom can also be in the style of a [[bikini skirt]] or [[bikini shorts]].",General,
94,577130,,,parted_lips,A facial expression where the mouth is just slightly open. Teeth don't need to be visible.,General,
95,571111,,,pleated_skirt,A [[skirt]] with vertical folds of fabric.,General,
96,570317,,,boots,"A type of footwear characterized for their durability. They cover the entire foot as well as the ankle, or even more. They can be made from [[leather]], rubber, or even [[metal]]. Some have steel plating on the end to protect the toes.",General,
97,563936,,,small_breasts,"Small [[breasts]] are larger than a [[flat chest]] and smaller than [[medium breasts]]. About a palmful in size. In real-world sizes, this can run from just over AA cup to just under C cup.",General,
98,556179,,,greyscale,"A completely colorless, black-and-white image. The image is composed exclusively of shades of black, white, and grey. It is very common for [[comic]]s and [[doujinshi]] to be in greyscale.",General,
99,558781,,,nude,"Not wearing any clothing on the chest and crotch. Clothing on other body parts, such as [[hat]]s, [[thighhighs]], [[elbow gloves]], or [[jewelry]], may still be worn.",General,
100,552550,,,collared_shirt,A [[shirt]] with a folded collar.,General,
101,548681,,,hairband,A flexible plastic or metal band or strip of fabric [b]worn over the top of the head[/b] to hold the hair back and maintain a certain hairstyle. May also hold [[fake animal ears]].,General,
102,544797,,,multiple_boys,Images depicting multiple male characters.,General,
103,520630,,,censored,"When parts of the image (typically graphic or sensitive contents such as sexual organs, gore, or offensive symbolism) are obscured, typically to comply with censorship laws.",General,
104,537041,,,horns,A horn is a pointed projection on the head.,General,
105,519528,,,pants,"An item of clothing worn on the lower body from the waist down to the ankles, covering each leg individually.",General,
106,520162,,,black_gloves,[[Gloves]] that are colored [[black]].,General,
107,517904,,,shorts,"An item of clothing worn on the lower body at the waist, but does not fully cover the legs.",General,
108,515657,,,necktie,"A long piece of cloth worn tied around the neck.  Neckties are often worn with formal clothes such as [[suit]]s or [[tuxedo]]s. With the latter, a [[bowtie]] is often worn instead.",General,
109,509593,,,alternate_costume,"A character wearing a costume other than the one they are typically depicted in, typically fanmade/unofficial. These can range from [[casual]] or [[contemporary]] attire to adaptations of their costume into different forms.",General,
110,504592,,,food,"A source of edible nourishment for humans, animals, and plants.",General,
111,505092,,,lying,"A character lying down flat on a surface, mainly being supported by the back, side or the stomach.",General,
112,502713,,,sky,"Use this tag if the sky is used as a focal point, as a subject, or used as a background.",General,
113,497166,,,wings,"Refers to characters who either have, or wear as a fashion accessory, wings on their back. Not for birds.",General,
114,494933,,,sleeveless,"A [[shirt]], [[dress]], or other top with a neck but without sleeves, often revealing [[bare arms]].",General,
115,492618,,,one_eye_closed,Having one eye closed. This can be for any reason.,General,
116,485730,,,virtual_youtuber,"A [b]Virtual YouTuber[/b], or [b]VTuber[/b], is a content creator or personality who uses a 2D or 3D digital avatar for online videos and/or [[livestream]]ing, often assuming a character as well. Despite the name, VTubers are not limited to the [[YouTube]] platform.",General,
117,479191,,,choker,A tight-fitting cloth band worn around the neck.,General,
118,477620,,,green_hair,Hair that is colored green.,General,
119,475733,,,detached_sleeves,Sleeves that are detached from the main upper garment.,General,
120,468873,,,penis,The male sexual organ.,General,
121,463453,,,medium_hair,Hair that is approximately shoulder-length. Hair extending past that point should be tagged as [[long hair]].,General,
122,459983,,,artist_name,The artist's name or alias is on the image somewhere.,General,
123,459789,,,socks,A piece of clothing worn on the feet beneath the [[shoes]]. Socks can be anywhere from [[ankle socks|ankle high]] to [[kneehighs|knee high]].,General,
124,458127,,,pointy_ears,"Any ear ending in a point. Usually [[elf]] or [[Vulcan]]-like, but can also refer to animal-like ears.",General,
125,439993,,,tongue,"When the tongue is decently visible, well defined, or particularly prominent.",General,
126,428626,,,indoors,A scene set inside a [[building]] or other indoor location. The majority of the picture or its subjects should be in an enclosed location.,General,
127,420037,,,black_thighhighs,[[Thighhighs]] or [[over-kneehighs]] that are black.,General,
128,417026,,,barefoot,"When a character's [[feet]] are completely bare, that is, not covered by [[shoes]], [[socks]], [[thighhighs]], or anything else. [[Barefoot]] should still be applied to [[nude]], [[bikini]], etc. characters, as just being nude doesn't necessarily imply that the feet are visible.",General,
129,417106,,,hand_up,"When a single hand is raised to the upper torso or higher. When both hands are raised, use [[hands up]].",General,
130,412134,,,glasses,"Eyeglasses or spectacles, megane in Japanese.",General,
131,411957,,,official_alternate_costume,"[[Alternate costume]]s of official origin, whether it be from the creators themselves, or from second-parties involved in the given copyright. Generally a costume other than the standard one the character appears in.",General,
132,411856,,,pussy,"Commonly used vulgar slang for the vulva, or female genitalia. Consists of the labia, the [[clitoris]], and the vagina, a passage that leads to the [[cervix]] and ultimately the [[uterus]], the primary female sexual organ. All three of these are female erogenous zones, the clitoris foremost among them.",General,
133,408935,,,puffy_sleeves,Sleeves that are puffy.,General,
134,403195,,,solo_focus,"An image containing multiple people, but focused on only a single person. The other characters are either unidentifiable or only a small part of the picture.",General,
135,400900,,,belt,"A long strip of [[leather]], [[rope]], or other material usually attached around the waistline of [[pants]], [[shorts]] or [[skirt]]s for functional or decorative purposes.",General,
136,383380,,,day,Images depicting daytime.,General,
137,379898,,,hairclip,A decorative clip or clasp generally used to hold hair in place or for fashion purposes. Also known as a barrette or a hair slide.,General,
138,362264,,,bowtie,A [[bow]] that is tied to the neck. Often seen on school uniforms (usually for females).,General,
139,367003,,,fang,"A character with a single, white, prominent canine tooth.",General,
140,359316,,,2boys,An image depicting two male characters.,General,
141,352841,,,black_skirt,A [[skirt]] or [[miniskirt]] that is colored [[black skirt|black]].,General,
142,347750,,,signature,"A post containing a prominent signature, either by the artist, a [[voice actor|voice actor]], or a character in-story.",General,
143,347442,,,hood,"A covering for the head and neck, either separate or attached to a cloak, coat, or the like.",General,
144,344829,,,white_gloves,[[Gloves]] that are colored [[white]].,General,
145,341550,,,serafuku,"The [[school uniform]] with a [[sailor collar|sailor-style collar]] worn by Japanese schoolgirls in middle school and high school. The standard uniform consists of a white [[blouse]], a [[pleated skirt]], and a red [[neckerchief]], but there are as many variations as there are stars in the sky.",General,
146,340267,,,elbow_gloves,"Elbow [[gloves]] (alternatively opera gloves, evening gloves, or over-the-elbow gloves) are a type of formal glove that reach near or beyond the elbow.",General,
147,338555,,,speech_bubble,A bubble with a pointed end that shows what a character is [[talking|saying]]. It can either have text or an object. If it is empty add the tag [[blank speech bubble]].,General,
148,337624,,,halo,"A bright ring or circle of light typically hovering above or traditionally behind the head that either symbolizes purity or to denote that the character is an [[angel]] or [[icon (religion)|saint]]. This tag applies generally to all kinds of halos which hover over one's head, such as a [[mechanical halo]], not just those that are considered traditional - for such halos only, see [[traditional halo]].",General,
149,338629,,,blunt_bangs,"A hairstyle where the [[bangs]] are cut in a sharp, straight line across the entire length of the forehead. Mutually exclusive with [[swept bangs]] and [[asymmetrical bangs]].",General,
150,335261,,,midriff,"A moderately-sized rectangular gap between clothing that exposes the character's [[stomach]]. The total amount of exposed skin should equal no more than half the stomach’s surface; with waistline bottomwear the gap ends slightly above the [[navel]], though it can shift to accommodate high-waist clothing:[/posts?tags=high-waist_*].",General,
151,330700,,,cloud,A cloud is a mass of water vapor that floats in the [[sky]].,General,
152,329180,,,white_dress,A [[dress]] that is mainly [[white]] in color.,General,
153,329355,,,pink_eyes,A character with pink colored eyes.,General,
154,327445,,,tongue_out,"When the [[tongue]] is past the entrance of its mouth. Primarily denotes the tongue lolling out, often unintentionally. Various facial expressions also involve jutting it out.",General,
155,324280,,,twitter_username,A line in or notation on the image that gives out a [[Twitter]] account (usually one belonging to the artist).,General,
156,323820,,,looking_at_another,When someone is looking at someone else. Use [[eye contact]] when two people look directly into each other's eyes.,General,
157,327424,,,dark_skin,"Skin that is darker in tone than the usual Eurasian skintone. Characters usually have this skintone naturally, but sometimes have dark skin due to a [[tan]], alternate coloring, etc.",General,
158,323349,,,cat_ears,"A character who has, or wears as a fashion accessory, cat ears (nekomimi) on their head.",General,
159,320720,,,sailor_collar,"A sailor-style collar, a two-color collar (usually blue and white or black and white) with one or more stripes near its edges. Often paired with a [[neckerchief]].",General,
160,320239,,,hair_flower,"One or more [[flower]]s, living or artificial, being worn as a [[hair ornament]]. If the flowers encircle the character's entire head, it's a [[head wreath]] instead.",General,
161,317311,,,stomach,"An exposed frontal abdomen, specifically the area around the [[navel]] and above the [[groin]]. For images pertaining to the internal organ itself, use [[stomach_(organ)]].",General,
162,309939,,,looking_back,"Indicates a subject of the image is looking behind their normal plane of vision.  This could mean they are turning their body, head, or only their eyes to look behind themselves. The subject's gaze should be directed fully or almost fully backwards over the shoulder, anywhere from 135 to 180 degrees behind them relative to their front.",General,
163,314863,,,holding_weapon,[[Holding]] any type of [[weapon]].,General,
164,308475,,,grey_background,Backgrounds with a solid or predominantly grey color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
165,307766,,,sword,"A bladed [[weapon]] designed for cutting or thrusting. They are typically composed of a hilt and a blade with one or two edges that can be straight or curved; most, but not all, swords have a pointed tip. The hilt, in turn, consists of a guard, a grip, and in most designs a pommel. The guard can be a crossguard like in a typical knight's sword, a disc like the [i]tsuba[/i] of a katana, or some more complex design.",General,
166,306305,,,sex,"[[Vaginal]] or [[anal]] intercourse. Only use this tag for actual [[vaginal]] or [[anal]] penetration with a penis or [[strap-on]]. Don't use it for [[oral|oral sex]], [[paizuri]], [[fingering]] or other acts that don't involve penile penetration or [[strap-on]]s.",General,
167,302616,,,miniskirt,"A [[skirt]] with a hemline well above the knees. Above the middle of the thighs at least, a few centimeters below the crotch line at most. For even shorter skirts, use [[microskirt]].",General,
168,301297,,,mole,A small dark blemish on the skin. Sometimes known as a beauty mark.,General,
169,302092,,,streaked_hair,"[[Multicolored hair]] or [[two-tone hair]] where the majority of the hair is one color, while only one or multiple small streaks possess a different color or colors.",General,
170,294909,,,two-tone_hair,[[Multicolored hair]] that consists of two distinct colors.,General,
171,299931,,,fingerless_gloves,Any kind of [[gloves]] which do not completely cover up the fingers. Typically designed to protect the user's palm while also keeping the grip of a bare hand.,General,
172,292906,,,english_text,A post containing text written primarily in English.,General,
173,291853,,,wide_sleeves,Sleeves with a wide opening.,General,
174,291478,,,necklace,"A simple, circular chain worn loosely around the neck as [[jewelry]].",General,
175,289398,,,open_jacket,A [[jacket]] (of any kind) that is open and [[unbuttoned]]/[[unzipped]].,General,
176,288338,,,black_jacket,A [[jacket]] that is colored [[black]].,General,
177,287734,,,on_back,Lying on one's own back.,General,
178,286659,,,hair_over_one_eye,"Hair that covers either eye. Typically associated with shy or mysterious characters. For the case where both eyes are covered, use [[hair over eyes]].",General,
179,289164,,,hair_bun,Any hairstyle in which the hair is wrapped into a round bun.,General,
180,286041,,,spread_legs,"When a person has their legs spread wide apart. Usually this is while [[lying]] down, [[sitting]], or during [[sex]].",General,
181,283278,,,chibi,"Japanese for small, this tag is used to describe [b]super deformed[/b] characters, whose proportions are smaller for a cute effect.",General,
182,283047,,,black_dress,A [[dress]] that is mainly [[black]] in color.,General,
183,278642,,,star_(symbol),"A symbol representing a star. The five-pointed (★) star is the most common example, but is not the only shape.",General,
184,277848,,,cum,"Slang term for semen and [[precum|seminal fluid]] (male [[ejaculation|ejaculate]]). It serves as a transport for [[sperm cell]]s, and its natural function is to [[pregnant|impregnate]] women. Translucent with a tint in real life, but commonly depicted as solid white in media.",General,
185,277297,,,coat,"A long garment worn for warmth, protection or fashion. Coats are made from thick material, therefore they have weight.",General,
186,276343,,,orange_hair,A character or person depicted has [b]orange colored hair[/b].,General,
187,277321,,,white_thighhighs,[[Thighhighs]] or [[over-kneehighs]] that are white.,General,
188,275713,,,nail_polish,Lacquer applied to the [[fingernails]] or [[toenails]] to make them colorful or shiny.,General,
189,275484,,,off_shoulder,"Sleeved clothing articles that rest just below a character's shoulder(s), at around the upper arm level. This includes clothing that has slipped or been pulled off the shoulders.",General,
190,275054,,,grin,A broad [[smile]] that exposes [[teeth]].,General,
191,272943,,,armpits,"The area of the body located underneath where the arm connects to the torso, often appearing when [[arm up|one]] or [[arms up|both]] arms are raised, especially when wearing clothes that are [[sleeveless]], [[strapless]], have [[detached sleeves]], have [[armpit cutout]]s, or if the character is [[topless female]]/[[topless male]] or outright [[nude]].",General,
192,272065,,,kimono,"A kimono (着物) is a type of traditional [[japanese clothes|Japanese clothing]]. It consists of a long, [[wide sleeves|wide-sleeved]] robe, closed at the front forming a y shape. It is held closed with a wide belt-like [[sash]] called an [[obi]]. The sleeves can be tied back with [[tasuki]].",General,
193,271351,,,3girls,An image containing three female characters. Male characters may also be present in addition to the female characters.,General,
194,266701,,,from_behind,Perspective where the subject is observed from behind.,General,
195,267088,,,striped_clothes,"A piece of clothing with a striped pattern. Stripes are typically wide, equally-sized bands of alternating colors.",General,
196,266598,,,black_shirt,A [[shirt]] that is colored black.,General,
197,262918,,,sweatdrop,A single large sweatdrop usually used to depict a character who is [[nervous]] or [[embarrassed]] in a situation.,General,
198,267820,,,black_eyes,A character with black colored eyes.,General,
199,258261,,,from_side,"The main character or object in the image is viewed from its side. May either be 90 degrees across the subject's shoulder, or up to 45 degrees left or right.",General,
200,259683,,,rabbit_ears,"A character with [[rabbit]]-like ears, such as a [[rabbit girl]] or a [[Playboy bunny]].",General,
201,257127,,,bag,"A flexible container made of cloth, paper, plastic often used for transporting goods.",General,
202,258943,,,blurry,"When part of the image is unsharp as a stylistic effect, or the emulation of realistic effects, such as looking through certain materials, in-image [[photo (medium)|photographs]] that are blurry, etc.",General,
203,255912,,,tears,"The fluid produced by the eyes, oftentimes (though not always) when [[crying]] or [[laughing]].",General,
204,254367,,,yuri,"Any romantic or sexual interaction between female characters, mutual or not. If it's mutual, consider adding the [[couple]] tag.",General,
205,250984,,,huge_breasts,[[Breasts]] that are larger than [[large breasts]] but smaller than [[gigantic breasts]].,General,
206,247150,,,red_bow,A [[bow]] that's colored [[red]].,General,
207,249077,,,vest,"A sleeveless, collarless garment usually worn on top of a shirt or blouse. Commonly worn with [[school uniform]]s.",General,
208,246934,,,armor,"A type of [[tag group:attire|clothing]] made to protect the wearer. Armor is usually made from a hard material, often [[metal]], but it can also be made from simple [[wood]] or [[leather]].",General,
209,246108,,,water,"A colorless, tasteless inorganic compound with chemical formula H₂O, vital to entire life forms on Earth.",General,
210,245757,,,cape,A sleeveless outer garment that is fastened around or behind the neck and worn on the back.,General,
211,242698,,,black_pantyhose,[[Pantyhose]] that is black.,General,
212,242641,,,arm_up,"A single arm is raised up, and the hand is around eye level or above.",General,
213,241009,,,leotard,"A [[skin tight]], one-piece [[bodysuit]] that covers the torso but leaves the legs free. They are usually [[sleeveless]]. They usually have a very simple design (often even just a single color), and are typically made of light fabrics to accommodate athletic activities. They are most often worn by acrobats, [[gymnastics|gymnasts]], [[dancer]]s, and circus performers.",General,
214,239817,,,animal_ear_fluff,"A distinct soft-looking fuzz that protrudes from the inside of [[animal ears]]. It is usually white in colouration, often resembling tufts of cotton, but can also take the form of swept fur that is faded in color.",General,
215,241514,,,apron,"An apron is an outer protective garment that covers primarily the front of the body.  It may be worn for hygienic reasons as well as in order to protect clothes from wear and tear. The apron is commonly part of the uniform of several work categories, including waitresses, nurses, and maids.  It is also worn as a decorative garment by women.",General,
216,236197,,,parted_bangs,Distinctly parted [[bangs]].,General,
217,236182,,,scarf,A long band of cloth worn loosely wrapped around the neck for warmth.,General,
218,235906,,,character_name,"Use this tag if the name, surname and/or nickname of a character appears in the image. [[typo|Typos]], various languages, and alternate spellings are accepted.",General,
219,235692,,,sweater,A relatively heavy garment intended to cover the torso and arms of the body. Commonly created from wool or cotton. Light sweaters that open in the front are known as [[cardigan|cardigans]]. Sweaters with an attached hood are known as [[hoodie|hoodies]].,General,
220,232333,,,blue_sky,A [[sky]] which is [[blue]].,General,
221,231586,,,clothes_lift,Clothing that has been lifted up to reveal the [[breasts]] or crotch.,General,
222,230602,,,high_heels,Footwear which raises the heels of the wearer's [[feet]] significantly higher than the toes.,General,
223,230943,,,mosaic_censoring,An image [[censored]] or [[obscured]] with a pixelated blur.,General,
224,227343,,,feet,When one or both of a character's feet are prominently displayed or detailed. Add [[foot focus]] when the feet are the main subject or focus of the image.,General,
225,227275,,,bra,A female undergarment worn to support the breasts.,General,
226,226718,,,crop_top,"A top, usually a [[tank top]] or [[sleeveless shirt]], that is cut short, designed to expose the wearer's [[midriff]], or [[navel]], sometimes even revealing [[underboob]].",General,
227,220907,,,collar,A band worn around the neck as a fashion accessory.,General,
228,224540,,,vaginal,"Pictures depicting [[pussy|vaginal]] penetration, whether by [[fingering]], [[tag group:sex objects|sex toys]], [[tentacles]], etc.",General,
229,219476,,,bracelet,[[Jewelry]] worn around the wrist for decoration.,General,
230,219627,,,completely_nude,Wearing no clothing from the neck down.,General,
231,219127,,,grey_eyes,A character with grey-colored eyes.,General,
232,216425,,,dated,"When the date of creation is written somewhere on the image, usually next to the [[artist name]].",General,
233,213687,,,looking_to_the_side,"When a character's gaze is directed to something off to their side. Most commonly are eyes looking 90 degrees across the shoulder, but may also include up to 45 degrees facing in either direction.",General,
234,213469,,,arms_up,"When both arms are raised up, around eye level or above.",General,
235,210944,,,hands_up,"When both hands are raised to the upper torso or higher. When a single hand is raised, use [[hand up]].",General,
236,210424,,,:o,Round mouths of all sizes.,General,
237,210996,,,red_ribbon,A [[ribbon]] that's colored [[red]].,General,
238,210299,,,cup,"A drinking vessel. This includes [[mug]]s, [[drinking glass]]es, Japanese-style [[sakazuki]]  (sake cups), and anything else used to drink from.",General,
239,210297,,,fingernails,"Tag used when fingernails are noticeable in the image, i.e. the fingers aren't simply stubs.",General,
240,206823,,,eyelashes,When a character's eyelashes are particularly noticeable or drawn with great detail.,General,
